,Unnamed: 0,ID,Code,Language Name,Alternate Names,Endangerment Status,Estimated Speakers,Language Family,Dialects/Variants,Additional Information,Notes,Geographical Regions,Region,Coordinates,Index,Country,Latitude,Longitude
16,16,1043,con,A'ingae,Kofane; Cofán; Kofán; A'i; A'ingaé; Colin; Kofan; A'ingae;,Vulnerable,1500.0,Isolate; South American,,,,Colombia;Ecuador;,South America,"(0.054639, -77.409417)",3,Colombia,0.054639,-77.409417
17,17,1043,con,A'ingae,Kofane; Cofán; Kofán; A'i; A'ingaé; Colin; Kofan; A'ingae;,Vulnerable,1500.0,Isolate; South American,,,,Colombia;Ecuador;,South America,"(0.054639, -77.409417)",3,Ecuador,0.054639,-77.409417
18,18,3581,aas,Aasáx,"Asax; Asá; Aasá; Assa; Asak; ""Ndorobo""; ""Dorobo""; Lamanik; Il Konono; Asa; Aasax;",Dormant,0.0,Afro-Asiatic; Cushitic; South Cushitic,,,,Tanzania;,Africa,"(-5.1948, 37.738)",4,Tanzania,-5.1948,37.738
19,19,2011,abg; abag1245,Abaga,Wagaba; Wagama; Vaga,Critically Endangered,5.0,Nuclear Trans-New Guinea; Kainantu-Goroka; Siane-Yagaria; Kamano-Yagaria,,,,Papua New Guinea;,Pacific,"(-6.12, 145.66)",5,Papua New Guinea,-6.12,145.66
20,20,3584,abf,Abai Sungai,,Endangered,500.0,Austronesian; Malayo-Polynesian; North Borneo; Sabahan,,,,Malaysia;,Southeast Asia,"(5.587, 118.3695)",6,Malaysia,5.587,118.3695
21,21,10590,aau,Abau,Green River; Djarok,Threatened,7000.0,Sepik,Central; Down-River; Down-River Border; Up-River,,,Papua New Guinea;,Pacific,"(-3.97, 141.32)",7,Papua New Guinea,-3.97,141.32
22,22,1415,abq; abaz1241,Abaza,абаза бызшва‎; Abazintsy; Abazin; Ahuwa; Tapanta; Ashuwa;,Vulnerable,47880.0,Northwest Caucasian; Abkhaz-Adyghe; Abkhaz-Abazin,"Ashkaraua/Ashkherewa (Ashkar, Ashkharywa, Ashxar, Shkaruau); Bezshagh; T'ap'anta; Psyzh-Krasnovostok; Abazakt; Apsua; Kubin-Elburgan; Kuvin","Abaza belongs to the Abkhazo-Adyghian group of the Caucasian languages. It is close to Abkhaz, but contains also elements characteristic of Kabardian. Of all languages spoken in the former USSR, Abaza phonetics are considered the most difficult. The Abaza language is divided into two dialects corresponding to the two kinship communities Tapanta and Shkaraua. There are five subdialects: Abazakt, Apsua, Kubin-Elburgan, Kuvin and Psyzh-Krasnovostok. (The Redbook of the Peoples of the Russian Empire, 2008)",,Russia;,Caucasus;Europe;East Asia,"(44.1556, 41.9368)",8,Russia,44.1556,41.9368
23,23,9669,abp,Abellen Ayta,Abenlen; Ayta Abenlen Sambal; Aburlin Negrito; Sambal,Threatened,3500.0,Austronesian; Malayo-Polynesian; Central Luzon,,,,Philippines;,Southeast Asia,,9,Philippines,,
24,24,1763,bsa; abin1243,Abinomn,"Avinomen; ""Baso""; Foya; Foja;",Critically Endangered,50.0,Isolate; Pacific,,,,Indonesia;,Southeast Asia,"(-2.92, 138.89)",10,Indonesia,-2.92,138.89
25,25,3847,aob,Abom,,Critically Endangered,15.0,Trans-New Guinea; Tirio,,,,Papua New Guinea;,Pacific,"(-8.424996376, 142.9303589)",11,Papua New Guinea,-8.424996376,142.9303589
26,26,10638,ado,Abu,Adjora; Adjoria; Azao,Threatened,2347.0,Lower Sepik-Ramu; Ramu; Grass,,,,Papua New Guinea;,Pacific,"(-4.24, 144.47)",12,Papua New Guinea,-4.24,144.47
27,27,10569,aah,Abu',Abu’ Arapesh; Ua,Threatened,2560.0,Torricelli; Arapeshan,Matapau,,,Papua New Guinea;,Pacific,"(-3.4, 142.8)",13,Papua New Guinea,-3.4,142.8
28,28,1381,abz,Abui,"Barue; ""Barawahing""; Namatalaki;",Threatened,16000.0,Timor-Alor-Pantar,Atimelang; Kobola; Alakaman;,,,Indonesia;,Southeast Asia,,14,Indonesia,,
29,29,10730,kgr,Abun,Karon Pantai; Madik; Yimbun,Threatened,3000.0,Isolate; Pacific,Abun Ji /l/; Abun Ji /r/; Abun Ye; Abun Tat,,"""There are four identifiable dialects all of which are mutually intelligible, although intelligibility decreases when greater geographic distance is involved."" (Berry and Berry 1999:1)",Indonesia;,Southeast Asia,"(-0.52, 132.19)",15,Indonesia,-0.52,132.19
30,30,10730,kgr,Abun,Karon Pantai; Madik; Yimbun,Threatened,3000.0,Isolate; Pacific,Abun Ji /l/; Abun Ji /r/; Abun Ye; Abun Tat,,"""There are four identifiable dialects all of which are mutually intelligible, although intelligibility decreases when greater geographic distance is involved."" (Berry and Berry 1999:1)",Indonesia;,Southeast Asia,"(-0.66, 131.91)",15,Indonesia,-0.66,131.91
31,31,641,aca,Achagua,Achagua; Xagua; Ajagua; Achawa;,Endangered,283.0,Arawakan; Northern Arawakan; Upper Amazon,,,,Colombia;,South America,"(4.434, -70.8837)",16,Colombia,4.434,-70.8837
32,32,1520,guq,Aché,Axe; Guaiaqui; Guoyagui; Guayakí; Guayaki-Ache; Guayaki; Guayaquí; Guaiaqui; Guajaki; Guoyagui;,Severely Endangered,200.0,Tupian; Tupi-Guaranian; Guaranian,Northern Aché; Yvyturuzu Aché; Ñacunday (Southern) Aché; Ypeti Aché,,,Paraguay;,South America,"(-25.25, -55.1666666667)",17,Paraguay,-25.25,-55.1666666667
33,33,3591,acz,Acheron,Garme; Asheron; Aceron; Achurun;,Vulnerable,70000.0,Niger-Congo; Talodi,Eastern Acheron; Western Acheron;,,,Sudan;,Africa,"(10.809, 30.2453)",18,Sudan,10.809,30.2453
34,34,647,acr,Achi',Rabinal K'iche'; Achí;,Vulnerable,51593.0,Mayan; K'ichean,"Cubulco, Rabinal. Some consider Cubulco a dialect of K'iche', and many consider all of Achi', Rabinal and Cubulco, to be just varieties of K'iche'. They are mutually intelligible.",Considered a dialect of K'iche' by many linguists.,,Guatemala;,"Mexico, Central America, Caribbean","(15.0845, -90.4888)",19,Guatemala,15.0845,-90.4888
35,35,648,acu,Achuar,Achual; Achuar-Shiwiar; Achuale; Achuara; Jívaro; Maina,Threatened,5443.0,Chicham family (Jivaroan),,,"Kaufman (2007: 69) considers Jívaro a “language area” with two emergent languages, Jívaro and Aguaruna. Shuar, Achuar, Aguaruna, and Huambisa are closely related languages or dialects of a single language.",Peru;Ecuador;,South America,"(-2.876318, -77.586775)",20,Peru,-2.876318,-77.586775
36,36,648,acu,Achuar,Achual; Achuar-Shiwiar; Achuale; Achuara; Jívaro; Maina,Threatened,5443.0,Chicham family (Jivaroan),,,"Kaufman (2007: 69) considers Jívaro a “language area” with two emergent languages, Jívaro and Aguaruna. Shuar, Achuar, Aguaruna, and Huambisa are closely related languages or dialects of a single language.",Peru;Ecuador;,South America,"(-2.876318, -77.586775)",20,Ecuador,-2.876318,-77.586775
37,37,1004,acv,Achumawi,Achumawi; Achomawi; Pitt River; Achoma'wi; Achowawi;,Critically Endangered,10.0,Palaihnihan,"Downriver dialect groups: Madesiwi, Itsatawi, Ilmawi, Achumawi (proper); Upriver dialect groups: Atwamwi, Astariwawi, Kosalektawi, Hammawi, Hewisedawi",,,USA;,North America,"(41.320107, -121.129761)",21,United States of America,41.320107,-121.129761
38,38,650,kjq,Acoma-Laguna,Western Keres Pueblo; Western Keresan; Acoma;,Threatened,4000.0,Keresan,Acoma; Laguna,,,USA;,North America,"(34.8964, -107.5816)",22,United States of America,34.8964,-107.5816
39,39,6909,ads,Adamorobe Sign Language,,Threatened,35.0,Sign Language; African,,,,Ghana;,Africa,"(5.859378, -0.197951)",23,Ghana,5.859378,-0.197951
40,40,9470,adn,Adang,Alor;,Endangered,7000.0,Timor-Alor-Pantar; Alor,,,,Indonesia;,Southeast Asia,"(-8.195, 124.484)",24,Indonesia,-8.195,124.484
41,41,2827,tiu,Adasen Itneg,"Adasen; Addasen Tinguian; Addasen; Itneg, Adasen",Threatened,4000.0,Austronesian; Malayo-Polynesian; Northern Luzon; Cagayan Valley,Western Addasen; Eastern Addasen;,,,Philippines;,Southeast Asia,,25,Philippines,,
42,42,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,At risk,100190.0,Sino-Tibetan; Tani,Ashing; Bokar; Tangam; Shimong; Gallong; Minyong; Pasi; Pailibo; Bori; Karko; Pangi; Padam; Komkar; Ramo,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.",India;China;,South Asia;East Asia,"(28.526319, 93.115814)",26,India,28.526319,93.115814
43,43,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,At risk,100190.0,Sino-Tibetan; Tani,Ashing; Bokar; Tangam; Shimong; Gallong; Minyong; Pasi; Pailibo; Bori; Karko; Pangi; Padam; Komkar; Ramo,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.",India;China;,South Asia;East Asia,"(28.526319, 93.115814)",26,China,28.526319,93.115814
44,45,3593,adt,Adnyamathanha,Adynyamathanha; Wailpi; Wailbi; Waljbi; Wipie; Ad'n'amadana; Anjimatana; Anjiwatana; Archualda; Benbakanjamata; Binbarnja; Gadjnjamada; Jandali; Kanjimata; Keydnjmarda; Mardala; Nimalda; Nuralda; Unyamootha; Umbertana; Adnyamathana; Anjamutina; Anyamatana; Kudnamietha; Kutchamoota; Keydnjamarda; Mardula; Nimbalda; Nimbaldi; Atnyamathanha;,Endangered,100.0,Pama-Nyungan; Thura-Yura,,,,Australia;,Australia,"(-30.83714135, 139.1215397)",28,Australia,-30.83714135,139.1215397
45,46,581,adz,Adzera,"Azera, Acira, Atzera, Atsera",Vulnerable,28900.0,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Amari;,,,Papua New Guinea;,Pacific,"(-6.39, 146.29)",29,Papua New Guinea,-6.39,146.29
46,47,3596,aeq,Aer,,Endangered,200.0,Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Jikrio Goth Aer; Jamesabad Aer,,,Pakistan;,South Asia,"(25.272921, 69.290285)",30,Pakistan,25.272921,69.290285
47,48,3600,aft,Afitti,Ditti; Unietti; Affitti; Dinik; Affiti;,Endangered,4000.0,Nyimang,Afitti; Ditti,,,Sudan;,Africa,,31,Sudan,,
48,49,2799,ulf,Afra,Usku,Threatened,115.0,Isolate; Pacific,,,,Indonesia;,Southeast Asia,"(-3.5449, 140.7499)",32,Indonesia,-3.5449,140.7499
49,50,10069,5qc,Aftari,,Endangered,500.0,Indo-European; Indo-Iranian; Iranian; Northwest; Semnan area,,,,Iran;,Near East,"(35.36, 53.7)",33,Iran,35.36,53.7
50,51,3879,avo,Agavotaguerra,Agavotoküeng; Agavotoqüeng; Agavo-queng,Dormant,0.0,Arawakan; Southern Arawakan; Central,,"Agayotoguerra may be a dialect of Yawalapití. Ethnologue (2106) lists it as ""unclassified"" and related to Waurá [wau] and to Yawalapití [yaw]; for number of speakers it gives ""10 (extinct)"".""The Agavotoqëng are a tropical forest tribe who live in the Xingú park, Mato Grosso state, Brazil; their village is on the east side of the Xingú River, between the Kuluene and Kurizevo rivers. The tribe numbers fewer than 100; they speak a language similar to that of the Yawalapití, from whom they may have broken away at some earlier time. The tribe maintains isolation form other groups in the Xingú Indian Park."" (Villas Boas, Orlando and Cláudio Villas Boas. 1973. Xingú: The Indians, their Myths.)",,Brazil;,South America,"(-13.3, -53.44)",34,Brazil,-13.3,-53.44
51,53,921,agx,Aghul,Agul; агъул чӀал; Ağul ç'al; агульский язык; Aghulshuy; Aguly;,Threatened,18000.0,Northeast Caucasian; Daghestanian; Lezgic,Agul; Gekxun; Koshan; Keren;,,,Russia;Azerbaijan;,Caucasus;Europe;East Asia,"(41.7518, 47.6875)",36,Russia,41.7518,47.6875
52,54,921,agx,Aghul,Agul; агъул чӀал; Ağul ç'al; агульский язык; Aghulshuy; Aguly;,Threatened,18000.0,Northeast Caucasian; Daghestanian; Lezgic,Agul; Gekxun; Koshan; Keren;,,,Russia;Azerbaijan;,Caucasus;Europe;East Asia,"(41.7518, 47.6875)",36,Azerbaijan,41.7518,47.6875
53,55,10554,aif,Agi,Metru,Endangered,670.0,Torricelli; Palei,,,,Papua New Guinea;,Pacific,"(-3.49, 142.39)",37,Papua New Guinea,-3.49,142.39
54,56,1565,agr,Aguaruna,Aguajun; Ahuajun; Awaruna; Awahun; Awajún; Aguaruna; Aents,Vulnerable,55000.0,Chicham family (Jivaroan),,,Known to its speakers as iiniá chicham.,Peru;,South America,"(-4.3464, -77.8271)",38,Peru,-4.3464,-77.8271
55,57,3806,aug,Aguna,Awuna; Agunaco;,Threatened,3470.0,Niger-Congo; Atlantic-Congo; Kwa,,,,Benin;,Africa,,39,Benin,,
56,58,3334,wmi,Agwamin,Ak Waumin; Ak-Waumin; Egwamin; Ewamin; Gwamin; Wailoolo; Walamin; Walming; Waumin; Wawmin; Wimanja; Wommin; Wakaman; Warkaman; Warkeeman; Warkamin; Warkeemon;Wamin;,Critically Endangered,1.0,Pama-Nyungan; Paman,,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",,Australia;,Australia,"(-17.83386864, 144.2350367)",40,Australia,-17.83386864,144.2350367
57,59,10816,axam1237,Ahamb,Axamb; Akhamb; Akamb; naujin sdrato [nauˈtʃin sndraˈto] ‘our language’,Endangered,968.0,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu; Southeastern Malekula,,,,Vanuatu;,Pacific,"(-16.517, 167.652)",41,Vanuatu,-16.517,167.652
58,60,3690,ahn,Àhàn,Ahaan; Ahan,Endangered,300.0,Niger-Congo; Atlantic-Congo; Benue-Congo; Defoid,,,,Nigeria;,Africa,"(7.762, 5.724)",42,Nigeria,7.762,5.724
59,61,761,aht,Ahtna,Ahtena; Nabesna; Tanana; Ah-tena; Atna; Copper River; Mednovskiy;,Critically Endangered,30.0,Athabaskan-Eyak-Tlingit; Athabaskan;,,,,USA;,North America,"(62.7547, -144.3164)",43,United States of America,62.7547,-144.3164
60,62,669,tba,Aikanã,Aikaná; Huarí; Warí; Masaká; Tubarão; Kasupá; Mundé; Corumbiara; Huari; Tubaro; Wari; Uari; Kolumbiara;,Vulnerable,187.5,Isolate; South American,Masaká;,,,Brazil;,South America,"(-12.651, -60.3918)",44,Brazil,-12.651,-60.3918
61,63,10552,ymo,Aiku,Yangum Mon; Malek; Menandon; Minendon; Monanda; Monandu; Umgrak-Aiku,Endangered,819.0,Torricelli; Palei,,,,Papua New Guinea;,Pacific,,45,Papua New Guinea,,
62,64,3699,ail,Aimele,Eibela; Kware;,Endangered,140.0,Trans-New Guinea; Awyu,,,,Papua New Guinea;,Pacific,"(-6.751896, 142.745361)",46,Papua New Guinea,-6.751896,142.745361
63,65,3700,aim,Aimol,Langrong; Aimal;,Endangered,2640.0,Sino-Tibetan; Kukish,Langrong;,,,India;,South Asia,"(24.4971, 93.6145)",47,India,24.4971,93.6145
64,66,3692,aic,Ainbai,,Endangered,110.0,Border; Bewani,,,"Laycock (1973) identifies the two Ainbai-speaking villages as speaking Pagi [pgi], but Brown (1980) classifies Ainbai as a separate language.",Papua New Guinea;,Pacific,"(-3.1, 141.2)",48,Papua New Guinea,-3.1,141.2
65,67,3691,aib,Ainu (China),Aynu; Aini; Abdal; Eynu; Äynu; 艾努語,Threatened,12000.0,Turkic; Central Asian Turkic,,,,China;,East Asia,"(43.843, 87.633)",49,China,43.843,87.633
66,68,3691,aib,Ainu (China),Aynu; Aini; Abdal; Eynu; Äynu; 艾努語,Threatened,12000.0,Turkic; Central Asian Turkic,,,,China;,East Asia,"(37.887, 77.417)",49,China,37.887,77.417
67,69,3691,aib,Ainu (China),Aynu; Aini; Abdal; Eynu; Äynu; 艾努語,Threatened,12000.0,Turkic; Central Asian Turkic,,,,China;,East Asia,"(37.164, 79.941)",49,China,37.164,79.941
68,70,1212,ain,Ainu (Japan),Ainu Itak; Aynu itak; Kurili; アイヌ　イタㇰ; アイヌ語; ,Critically Endangered,2.0,Isolate,Hokkaido; Taraika; Sakhalin; Kuril,,,Japan;,East Asia,"(47.3983, 142.2949)",50,Japan,47.3983,142.2949
69,71,10644,aki,Aiome,Ayom,Endangered,620.0,Lower Sepik-Ramu; Ramu; Middle Ramu,,,,Papua New Guinea;,Pacific,"(-5.13, 144.76)",51,Papua New Guinea,-5.13,144.76
70,72,10330,mmq,Aisi,Musak; Green Miao; Blue Miao; Red Miao; White Miao;,Endangered,250.0,Trans-New Guinea; Madang,,,,Papua New Guinea;,Pacific,"(-5.405093, 145.175755)",52,Papua New Guinea,-5.405093,145.175755
71,73,10349,nfl,Äiwoo,Reef; Ayiwo; Naaude; Aiwo; Gnivo; Nivo; Nifilole; Lomlom; Reef Islands; Reefs; Äiwo; Aïwo; Reef Islands-Santa Cruz Sub-Family,Vulnerable,7926.0,Austronesian; Malayo-Polynesian; Oceanic; Temotu,,"Although children are still learning Äiwoo, the language is in danger from rising sea levels. Speakers may need to move to Santa Cruz or Honiara to survive in the longer term, leading to an increase in the use of Pijin, and potentially the disappearance of the Äiwoo language.",,Solomon Islands;,Pacific,"(-10.303377, 166.306967)",53,Solomon Islands,-10.303377,166.306967
72,74,3703,aja,Aja,Ajja; Adja;,Endangered,200.0,Kresh-Aja,,,,Sudan;,Africa,"(8.6136, 25.2465)",54,Sudan,8.6136,25.2465
73,75,8889,muc,Ajumbu,Mbu',Endangered,250.0,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,,,,Cameroon;,Africa,,55,Cameroon,,
74,76,1269,akq,Ak,,Severely Endangered,80.0,Sepik; Yellow River,,,,Papua New Guinea;,Pacific,"(-3.6093, 141.6604)",56,Papua New Guinea,-3.6093,141.6604
75,80,651,knj,Akateko,"Acatec; Kanjobal (Western); Kanjobal, Western; Acateco; Acatec; San Miguel Acatán Kanjobal; Conob; Western Kanjobal; Western Q'anjob'al; Kanjobal de San Miguel Acatán;",Threatened,5572.0,Mayan; Q'anjob'alan-Chujean,,,,Guatemala;Mexico;,"Mexico, Central America, Caribbean","(15.8333333333, -91.8333333333)",60,Guatemala,15.8333333333,-91.8333333333
76,81,651,knj,Akateko,"Acatec; Kanjobal (Western); Kanjobal, Western; Acateco; Acatec; San Miguel Acatán Kanjobal; Conob; Western Kanjobal; Western Q'anjob'al; Kanjobal de San Miguel Acatán;",Threatened,5572.0,Mayan; Q'anjob'alan-Chujean,,,,Guatemala;Mexico;,"Mexico, Central America, Caribbean","(15.8333333333, -91.8333333333)",60,Mexico,15.8333333333,-91.8333333333
77,82,3698,aik,Ake,Aike; Akye;,Vulnerable,2000.0,Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,,,,Nigeria;,Africa,"(8.94748, 8.835342)",61,Nigeria,8.94748,8.835342
78,83,3597,aeu,Akeu,Aki; Akui; 阿克,Threatened,5000.0,Sino-Tibetan; Lolo-Burmese,,,,China;Myanmar;Thailand;,Southeast Asia;East Asia,"(21.5833, 101.0166)",62,China,21.5833,101.0166
79,84,3597,aeu,Akeu,Aki; Akui; 阿克,Threatened,5000.0,Sino-Tibetan; Lolo-Burmese,,,,China;Myanmar;Thailand;,Southeast Asia;East Asia,"(21.5833, 101.0166)",62,Myanmar,21.5833,101.0166
80,85,3597,aeu,Akeu,Aki; Akui; 阿克,Threatened,5000.0,Sino-Tibetan; Lolo-Burmese,,,,China;Myanmar;Thailand;,Southeast Asia;East Asia,"(21.5833, 101.0166)",62,Thailand,21.5833,101.0166
81,86,941,akv,Akhvakh,Axvax; Ашвaлъи мицIи; авахский язык; Akhwakh,Threatened,5000.0,Northeast Caucasian; Daghestanian; Andic,Kaxib;,"The Akhvakh language belongs to the Andi subgroup of the Avar-Ando-Dido or northwestern group of the Dagestan languages and is divided into two dialects: North-Akhvakh and South-Akhvakh. The first is homogeneous, while the latter is further divided into the Tlyanub and Tsegob subdialects. The difference between the South-Avar and North-Avar is rather considerable and users of the two dialects prefer communicating in the Avar language. (The Red Book of the Peoples of the Russian Empire, 2008)",,Russia;,Caucasus;Europe;East Asia,"(42.472, 46.3238)",63,Russia,42.472,46.3238
82,87,942,sia,Akkala Saami,Ahkkil; Babino Saami; Akkalansaame; ču´kksuâlis; бабинский саамский язык; Аккала; Babinsk; Akkala Sami; ,Critically Endangered,1.0,Uralic; Saami,,,,Russia;,Caucasus;Europe;East Asia,"(67.77447, 32.126267)",64,Russia,67.77447,32.126267
